Timer started ...
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nBERR_FSB.OUT), to(nBERR_FSB.PAD)
MOD: delay(174 174), type(tPDi), from(nBERR_FSB ), to(nBERR_FSB.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_10_.OUT), to(RA_10_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_10_ ), to(RA_10_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_9_.OUT), to(RA_9_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_9_ ), to(RA_9_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_8_.OUT), to(RA_8_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_8_ ), to(RA_8_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_7_.OUT), to(RA_7_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_7_ ), to(RA_7_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_6_.OUT), to(RA_6_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_6_ ), to(RA_6_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nROMCS.OUT), to(nROMCS.PAD)
MOD: delay(174 174), type(tPDi), from(nROMCS ), to(nROMCS.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_5_.OUT), to(RA_5_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_5_ ), to(RA_5_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nRAMLWE.OUT), to(nRAMLWE.PAD)
MOD: delay(174 174), type(tPDi), from(nRAMLWE ), to(nRAMLWE.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_4_.OUT), to(RA_4_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_4_ ), to(RA_4_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nRAMUWE.OUT), to(nRAMUWE.PAD)
MOD: delay(174 174), type(tPDi), from(nRAMUWE ), to(nRAMUWE.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_3_.OUT), to(RA_3_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_3_ ), to(RA_3_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nROMWE.OUT), to(nROMWE.PAD)
MOD: delay(174 174), type(tPDi), from(nROMWE ), to(nROMWE.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(RA_2_.OUT), to(RA_2_.PAD)
MOD: delay(174 174), type(tPDi), from(RA_2_ ), to(RA_2_.OUT)
MOD: delay(155 155), type(tORP+tBUF+tIOO(LVCMOS18)), from(nRAS.OUT), to(nRAS.PAD)
MOD: delay(174 174), type(tPDi), from(nRAS ), to(nRAS.OUT)
